micros,ax,ay,az,gx,gy,gz
690000,-2056,-6924,14804,-749,-128,-1586
692000,-2004,-6984,14816,-807,-129,-1521
694000,-2024,-7000,14764,-813,-165,-1499
696000,-2100,-6924,14712,-809,-193,-1456
698000,-2136,-7032,14576,-871,-233,-1448
700000,-2120,-7040,14736,-840,-278,-1395
702000,-2088,-7024,14724,-829,-278,-1402
704000,-2092,-7072,14800,-839,-273,-1369
706000,-2036,-7192,14852,-847,-298,-1390
708000,-2024,-7104,14924,-838,-339,-1434
710000,-1928,-7120,14896,-831,-326,-1430
712000,-2008,-7188,14840,-812,-278,-1413
714000,-1924,-7108,14828,-839,-305,-1460
716000,-1956,-7180,14848,-835,-302,-1461
718000,-1924,-7092,14768,-869,-287,-1489
720000,-1988,-7108,14780,-855,-269,-1481
722000,-1996,-7064,14836,-920,-263,-1448
724004,-1968,-6972,14720,-910,-266,-1454
726000,-2028,-6900,14712,-869,-247,-1383
728000,-1912,-6880,14752,-927,-253,-1348
730000,-1940,-6860,14748,-944,-151,-1293
732000,-1908,-6912,14832,-916,-150,-1271
734000,-1824,-6920,14796,-905,-187,-1178
736000,-1868,-7024,14808,-905,-212,-1090
738000,-1788,-7048,14792,-913,-286,-1005
740000,-1824,-7032,14744,-846,-339,-918
742000,-1780,-7052,14864,-817,-359,-811
744000,-1884,-7016,14880,-787,-473,-739
746000,-1740,-7024,14872,-750,-488,-663
748000,-1784,-6984,14784,-698,-498,-566
750000,-1820,-6944,14732,-664,-538,-465
752000,-1916,-6988,14944,-600,-605,-404
754000,-1932,-6936,14876,-493,-616,-285
756000,-1948,-6904,14756,-424,-608,-219
758000,-2048,-6988,14840,-361,-655,-95
760000,-1988,-6980,14960,-289,-727,-71
762000,-2092,-6952,14872,-247,-773,29
764000,-2180,-6904,14896,-178,-806,89
766000,-2144,-6904,14776,-102,-818,151
768000,-2212,-6884,14852,-80,-853,178
770000,-2296,-6936,14848,14,-906,165
772004,-2312,-6916,14840,25,-912,179
774000,-2408,-6904,15072,81,-985,156
776004,-2448,-6912,15044,144,-1034,104
778000,-2552,-6932,15104,167,-1067,50
780000,-2672,-6984,15240,160,-1178,-5
782000,-2768,-7068,15284,211,-1245,-34
784000,-2824,-7108,15288,192,-1303,-188
786004,-2912,-7072,15364,225,-1421,-287
788000,-2940,-7108,15268,256,-1505,-440
790000,-2940,-7064,15484,181,-1609,-576
792000,-2952,-7144,15504,144,-1752,-742
794000,-3012,-7168,15504,124,-1817,-919
796000,-2924,-7236,15656,114,-1962,-1058
798000,-2980,-7260,15776,77,-2113,-1200
800000,-3052,-7228,15716,68,-2259,-1353
802000,-3068,-7300,15824,2,-2422,-1501
804000,-3092,-7288,15620,-45,-2596,-1669
806000,-3096,-7240,15380,-70,-2714,-1815
808000,-3048,-7196,15396,-91,-2820,-1942
810000,-3056,-7164,15328,-141,-2929,-2078
812000,-3008,-7176,15256,-181,-2972,-2218
814000,-2960,-7304,15248,-221,-3076,-2389
816000,-2872,-7288,15136,-304,-3180,-2562
818000,-2812,-7316,15140,-323,-3171,-2734
820000,-2776,-7368,15004,-359,-3188,-2962
822000,-2788,-7392,14996,-467,-3145,-3133
824000,-2676,-7396,14708,-501,-3097,-3385
826000,-2596,-7472,14672,-587,-3012,-3579
828000,-2656,-7456,14500,-675,-2904,-3842
830000,-2608,-7560,14572,-726,-2894,-4101
832000,-2504,-7644,14488,-862,-2814,-4368
834000,-2400,-7680,14528,-896,-2728,-4688
836000,-2328,-7768,14548,-1009,-2608,-5007
838000,-2296,-7868,14480,-1126,-2496,-5354
840000,-2292,-7840,14428,-1166,-2391,-5702
842000,-2120,-7816,14336,-1271,-2238,-6053
844000,-2144,-7800,14416,-1307,-2156,-6399
846000,-2184,-7832,14500,-1421,-2112,-6725
848000,-2048,-7868,14444,-1516,-2076,-7098
850000,-2164,-7776,14456,-1591,-2078,-7367
852004,-2044,-7728,14456,-1617,-2008,-7662
854000,-1968,-7800,14260,-1671,-2011,-7924
856004,-1920,-7836,14436,-1732,-1952,-8206
858000,-1956,-7704,14264,-1771,-1849,-8494
860000,-1876,-7716,14252,-1743,-1809,-8710
862000,-1896,-7632,14208,-1759,-1705,-9006
864000,-2024,-7644,14312,-1759,-1667,-9229
866000,-2000,-7584,14336,-1770,-1666,-9488
868000,-1924,-7440,14364,-1741,-1639,-9730
870000,-1956,-7640,14548,-1716,-1631,-10009
872000,-1888,-7628,14684,-1689,-1653,-10275
874000,-1832,-7760,14772,-1607,-1781,-10506
876000,-1756,-7712,15104,-1559,-1870,-10766
878000,-1724,-7692,15320,-1458,-2093,-11053
880000,-1664,-7716,15428,-1310,-2245,-11270
882000,-1724,-7788,15672,-1170,-2486,-11494
884000,-1648,-7800,15716,-985,-2819,-11700
886000,-1644,-7800,15732,-809,-3082,-11926
888000,-1632,-7820,15768,-649,-3380,-12110
890000,-1652,-7816,15596,-429,-3733,-12362
892000,-1560,-7812,15576,-246,-4082,-12562
894000,-1640,-7884,15388,-63,-4358,-12652
896000,-1652,-7836,15360,79,-4630,-12814
898000,-1548,-7792,15320,271,-4901,-12960
900004,-1552,-7744,15420,467,-5121,-13072
902000,-1548,-7720,15152,639,-5240,-13184
904004,-1520,-7696,14952,774,-5358,-13252
906000,-1524,-7584,15104,937,-5454,-13275
908000,-1476,-7568,14764,1109,-5432,-13392
910000,-1488,-7452,14680,1261,-5368,-13412
912000,-1532,-7384,14540,1400,-5256,-13424
914004,-1460,-7244,14352,1474,-5225,-13467
916000,-1352,-7284,14164,1550,-5117,-13504
918000,-1184,-7228,14060,1615,-4955,-13518
920000,-1084,-7220,14068,1649,-4845,-13588
